Unnamed: 0,MANUFACTURE,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
,AREEJ,,,,KAJIJI ,,,,GAHR,,,,OUD,,,,,
S/NO,INGREDIENTS ,COST ,,S/NO,INGREDIENTS ,COST ,,S/NO,INGREDIENTS ,COST ,,S/NO,INGREDIENTS ,COST ,,S/NO,INGREDIENTS ,COST 
1,WOOD,5500,,1,WOOD( 3 MUDUS),10000,,1,WOOD,5500,,1,WOOD,5500,,1,,
2,SANDAL POWDER ,3000,,2,SANDAL POWDER ,3000,,2,SANDAL POWDER ,3000,,2,SANDAL POWDER ,3000,,2,,
3,FARCE ,2000,,3,FARCE ,1500,,3,FARCE ,2000,,3,FARCE ,2000,,3,,
4,JAWEE,1000,,4,JAWEE,1000,,4,JAWEE,1500,,4,JAWEE,1000,,4,,
5,SANDALIA,0,,5,SANDALIA,0,,5,SANDALIA,0,,5,SANDALIA,0,,5,,
6,SANDAL OIL ,2000,,6,SANDAL OIL ,3000,,6,SANDAL OIL ,2000,,6,SANDAL OIL ,2000,,,,
7,WATER BASE ,2000,,7,WATER BASE ,2000,,7,WATER BASE ,2000,,7,WATER BASE ,2000,,6,,
8,OILS ,11200,,8,OILS ,27000,,8,OILS ,21600,,8,OILS ,21600,,7,,
9,MASK,1500,,9,MASK,2000,,9,MASK,2000,,9,MASK,2000,,8,,
10,SUGAR,3000,,10,SUGAR,3000,,10,SUGAR,3000,,10,SUGAR,3000,,9,,
11,STICKERS ,5000,,11,STICKERS ,3000,,11,STICKERS ,3000,,11,STICKERS ,5000,,,,
12,BOTTLES ,7000,,12,BOTTLES ,7000,,12,BOTTLES ,7000,,12,BOTTLES ,7000,,,,
13,Transaport fare ,10000,,13,TP ,10000,,13,TP ,10000,,13,TP ,10000,,,,
,,,,14,OIL(ARABIAN OUD),3000,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,TOTOAL COST PRICE,53200,,,,75500,,,,62600,,,,64100,,,,
,PRODUCED ,9,5911.111111111111,,,25,3020.0,,,10,6260.0,,,17,3770.5882352941176,,,
,S.P ,,,,,,,,,,,,,,,,,
